Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),ANNUAL RAINFALL (Millimeters)
1010,2002,5,Karnataka,Bagalkote,0,9,0,16,29,71,18,74,33,157,5,0,412
1010,2003,5,Karnataka,Bagalkote,-1,-1,-1,21,0,14,44,34,23,103,3,0,-1
1010,2004,5,Karnataka,Bagalkote,0,0,0,13,97,113,78,28,153,66,1,0,549
1010,2005,5,Karnataka,Bagalkote,1,0,0,12,99,64,118,64,76,122,0,0,556
1010,2006,5,Karnataka,Bagalkote,0,0,7,12,97,89,31,17,126,46,12,0,437
1010,2007,5,Karnataka,Bagalkote,0,0,0.2,3,52.9,195.4,43.5,108.7,267.3,38.6,4.2,0.1,713.9
1010,2008,5,Karnataka,Bagalkote,0,0,0,15,44,27,25,62,144,51,30,0,339
1010,2009,5,Karnataka,Bagalkote,0,0,2.9,14.8,66.3,119,41.7,107.3,195.6,220.1,0,0,767.7
1010,2010,5,Karnataka,Bagalkote,14,0,0,8,56,97,98,145,70,61,83,1,633
1010,2011,5,Karnataka,Bagalkote,0,2,0,35,84,76,79,105,50,85,0,0,516
1010,2012,5,Karnataka,Bagalkote,0,0,0,31.9,17.6,33.2,54.3,67.8,50,93.6,41.8,0,390.2
1010,2013,5,Karnataka,Bagalkote,0,1.4,1.9,36.3,42.7,59.4,80.8,18.8,146.4,126.2,0.7,0,514.6
1010,2014,5,Karnataka,Bagalkote,0,8.6,29.5,21.3,93,47.8,74.2,162.4,44.9,80.8,10.8,19.3,592.6
1010,2015,5,Karnataka,Bagalkote,0.3,0,8,44.1,35.5,60.8,20.2,37.8,186.9,68.4,3.3,0,465.3
1010,2016,5,Karnataka,Bagalkote,0.3,0,3.1,17.9,47.9,110.6,95.7,29.7,96.1,13.6,0.2,0,415.1
1010,2017,5,Karnataka,Bagalkote,0,0,7.7,8.2,54.8,80,44.5,60.9,222.9,145.8,3.6,0.8,629.2
1011,2000,5,Karnataka,Chamaraja Nagar,0,24,1,82,53,49,22,176,242,177,82,42,950
1011,2001,5,Karnataka,Chamaraja Nagar,4,0,2,122,33,14,52,50,182,133,80,8,680
1011,2002,5,Karnataka,Chamaraja Nagar,0,0,5,18,97,26,28,22,38,140,35,1,410
1011,2003,5,Karnataka,Chamaraja Nagar,-1,-1,-1,18,51,50,58,72,26,158,38,0,471
1011,2004,5,Karnataka,Chamaraja Nagar,6,0,5,127,189,54,92,29,186,180,44,0,912
1011,2005,5,Karnataka,Chamaraja Nagar,2,0,12,123,189,121,87,109,94,340,138,24,1239
1011,2006,5,Karnataka,Chamaraja Nagar,0,0,24,62,97,36,15,30,105,65,85,1,520
1011,2007,5,Karnataka,Chamaraja Nagar,0,3.1,5.6,23.3,93.2,78.8,104.1,136.4,88.1,175.1,57.2,73.9,838.8
1011,2008,5,Karnataka,Chamaraja Nagar,0,0,0,49,101,41,80,138,53,200,47,0,559
1011,2009,5,Karnataka,Chamaraja Nagar,0,0,10.6,52.9,100.8,37.1,78.9,106.7,109.1,38.6,0,0,534.7
1011,2010,5,Karnataka,Chamaraja Nagar,1,3,9,95,107,52,71,96,82,121,214,16,867
1011,2011,5,Karnataka,Chamaraja Nagar,0,14,20,130,101,50,43,73,18,130,110,9,698
